row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,principal_diagnosis_code,diagnosis_description,diagnosis_version,clm_cnt,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
6314488,2019,003,Anoka,MEDICARE,4,65 - 74 years,M,11,T87,Complications peculiar to reattachment and amputation,0,226,124,"$112,309.45","$10,209.95",$507.50,"$106,777.15","$9,707.01",$507.50,"$5,532.30",$502.93,$0.00
6315256,2019,003,Anoka,MEDICARE,5,75 years and older,F,46,N19,Unspecified kidney failure,0,71,494,"$4,513.70",$98.12,$36.99,"$3,960.86",$86.10,$36.12,$552.84,$12.01,$7.41
6316144,2019,003,Anoka,MEDICARE,5,75 years and older,M,11,K70,Alcoholic liver disease,0,210,104,"$40,837.65","$3,712.51",$198.80,"$39,134.12","$3,557.64",$158.68,"$1,703.53",$154.86,$21.23
6318952,2019,005,Becker,COMMERCIAL,3,45 - 64 years,F,37,Z13,Encounter for screening for other diseases and disorders,0,113,438,"$4,176.61",$112.88,$63.92,"$3,377.64",$91.28,$49.37,$798.97,$21.59,$0.00
6322048,2019,005,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,13,L50,Urticaria,0,55,141,"$2,809.25",$216.09,$138.41,"$2,794.05",$214.92,$138.41,$15.20,$1.16,$0.00
6324352,2019,005,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,13,R79,Other abnormal findings of blood chemistry,0,34,142,"$1,327.29",$102.09,$31.75,"$1,327.29",$102.09,$31.75,$0.00,$0.00,$0.00
6328048,2019,005,Becker,MEDICARE,4,65 - 74 years,F,19,M35,Other systemic involvement of connective tissue,0,224,228,"$14,161.40",$745.33,$216.34,"$11,490.30",$604.75,$180.59,"$2,671.10",$140.58,$38.84
6329608,2019,005,Becker,MEDICARE,5,75 years and older,F,15,M72,Fibroblastic disorders,0,54,176,"$7,388.02",$492.53,$189.54,"$6,383.90",$425.59,$151.02,"$1,004.12",$66.94,$30.00
6332656,2019,007,Beltrami,COMMERCIAL,3,45 - 64 years,F,11,L98,"Oth disorders of skin, subcu, not elsewhere classified",0,26,132,"$4,604.95",$418.63,$155.77,"$1,607.21",$146.11,$114.03,"$2,997.74",$272.52,$30.00
6334960,2019,007,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,22,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",0,51,253,"$10,869.63",$494.07,$224.53,"$10,869.63",$494.07,$224.53,$0.00,$0.00,$0.00
6336712,2019,007,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,12,L23,Allergic contact dermatitis,0,26,136,"$2,049.85",$170.82,$150.32,"$2,007.89",$167.32,$148.82,$41.96,$3.49,$3.00
6338320,2019,007,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,160,M54,Dorsalgia,0,"2,378","1,822","$182,588.96","$1,141.18",$317.20,"$181,647.46","$1,135.29",$317.20,$941.50,$5.88,$0.00
6341920,2019,007,Beltrami,MEDICARE,3,45 - 64 years,M,22,G40,Epilepsy and recurrent seizures,0,310,264,"$42,585.32","$1,935.69",$294.84,"$36,084.11","$1,640.18",$230.57,"$6,501.21",$295.50,$65.24
6343912,2019,007,Beltrami,MEDICARE,4,65 - 74 years,M,18,S22,"Fracture of rib(s), sternum and thoracic spine",0,270,202,"$38,034.03","$2,113.00","$1,553.42","$31,380.55","$1,743.36","$1,260.11","$6,653.48",$369.63,$170.10
6345280,2019,007,Beltrami,MEDICARE,5,75 years and older,M,16,L40,Psoriasis,0,224,192,"$48,442.28","$3,027.64",$182.47,"$41,490.30","$2,593.14",$142.79,"$6,951.98",$434.49,$41.97
6348112,2019,009,Benton,COMMERCIAL,3,45 - 64 years,F,295,I10,Essential (primary) hypertension,0,"1,330","3,445","$48,694.22",$165.06,$90.81,"$23,037.50",$78.09,$18.38,"$25,656.72",$86.97,$31.92
6351352,2019,009,Benton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,11,F50,Eating disorders,0,342,130,"$80,774.88","$7,343.17",$316.24,"$80,774.88","$7,343.17",$316.24,$0.00,$0.00,$0.00
6355936,2019,009,Benton,MEDICARE,3,45 - 64 years,M,11,Z86,Personal history of certain other diseases,0,39,132,$826.95,$75.17,$66.35,$456.94,$41.54,$20.04,$370.01,$33.63,$5.32
6358192,2019,009,Benton,MEDICARE,5,75 years and older,M,84,I50,Heart failure,0,"1,114",953,"$173,102.02","$2,060.73",$224.33,"$158,449.37","$1,886.30",$201.15,"$14,652.65",$174.43,$12.11
6364048,2019,011,Big Stone,MEDICARE,5,75 years and older,M,21,I08,Multiple valve diseases,0,48,220,"$41,843.06","$1,992.52",$73.51,"$39,779.03","$1,894.23",$59.00,"$2,064.03",$98.28,$14.83
6367336,2019,013,Blue Earth,COMMERCIAL,3,45 - 64 years,M,12,R39,Oth and unsp symptoms and signs involving the GU sys,0,35,134,"$1,827.40",$152.28,$103.52,$684.75,$57.06,$0.00,"$1,142.65",$95.22,$50.16
6370240,2019,013,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,824,Z30,Encounter for contraceptive management,0,"4,417","7,789","$455,973.52",$553.36,$359.97,"$455,655.01",$552.97,$359.97,$318.51,$0.38,$0.00
6373216,2019,013,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,17,Z79,Long term (current) drug therapy,0,373,204,"$61,754.18","$3,632.59",$0.00,"$61,725.38","$3,630.90",$0.00,$28.80,$1.69,$0.00
6375808,2019,013,Blue Earth,MEDICARE,3,45 - 64 years,M,26,K76,Other diseases of liver,0,58,291,"$9,520.05",$366.15,$91.97,"$7,572.60",$291.25,$73.55,"$1,947.45",$74.90,$18.42
6377320,2019,013,Blue Earth,MEDICARE,4,65 - 74 years,M,16,I95,Hypotension,0,265,183,"$42,334.76","$2,645.92",$496.69,"$38,545.27","$2,409.07",$451.89,"$3,789.49",$236.84,$52.37
6378496,2019,013,Blue Earth,MEDICARE,5,75 years and older,F,12,S46,"Injury of muscle, fascia and tendon at shldr/up arm",0,72,144,"$19,654.58","$1,637.88",$101.44,"$19,030.65","$1,585.88",$91.17,$623.93,$51.99,$17.69
6380944,2019,015,Brown,COMMERCIAL,3,45 - 64 years,F,16,H35,Other retinal disorders,0,32,190,"$3,707.47",$231.71,$136.30,"$2,294.99",$143.43,$0.67,"$1,412.48",$88.28,$64.99
6384664,2019,015,Brown,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,85,Z02,Encounter for administrative examination,0,"1,309",986,"$40,595.92",$477.59,$144.00,"$40,595.92",$477.59,$144.00,$0.00,$0.00,$0.00
6388072,2019,015,Brown,MEDICARE,4,65 - 74 years,F,23,Z86,Personal history of certain other diseases,0,103,276,"$8,842.39",$384.45,$138.23,"$6,018.21",$261.66,$115.85,"$2,824.18",$122.79,$11.02
6389680,2019,015,Brown,MEDICARE,5,75 years and older,M,39,G89,"Pain, not elsewhere classified",0,204,438,"$14,924.83",$382.68,$230.97,"$11,081.98",$284.15,$182.93,"$3,842.85",$98.53,$46.05
6393520,2019,017,Carlton,COMMERCIAL,4,65 - 74 years,F,11,R73,Elevated blood glucose level,0,30,132,$469.11,$42.64,$26.85,$360.00,$32.72,$4.26,$109.11,$9.91,$5.11
6395728,2019,017,Carlton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,85,O26,Maternal care for oth conditions predom related to pregnancy,0,497,916,"$58,149.38",$684.11,$455.00,"$58,093.18",$683.44,$455.00,$56.20,$0.66,$0.00
6397384,2019,017,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,14,D50,Iron deficiency anemia,0,117,149,"$5,719.25",$408.51,$301.93,"$5,704.05",$407.43,$301.93,$15.20,$1.08,$0.00
6401008,2019,017,Carlton,MEDICARE,4,65 - 74 years,F,15,G93,Other disorders of brain,0,172,147,"$43,489.31","$2,899.28",$477.99,"$39,323.85","$2,621.59",$397.25,"$4,165.46",$277.69,$0.00
6402592,2019,017,Carlton,MEDICARE,5,75 years and older,F,15,I83,Varicose veins of lower extremities,0,37,180,"$2,499.53",$166.63,$157.09,"$1,825.03",$121.66,$131.64,$674.50,$44.96,$21.55
6404488,2019,019,Carver,COMMERCIAL,1,18 years and under,M,18,B09,Unsp viral infection with skin and mucous membrane lesions,0,30,196,"$15,523.56",$862.42,$169.64,"$11,542.39",$641.24,$119.81,"$3,981.17",$221.17,$35.00
6405904,2019,019,Carver,COMMERCIAL,2,19 - 44 years,F,414,Z34,Encounter for supervision of normal pregnancy,0,"4,110","4,662","$366,616.97",$885.54,$566.66,"$352,584.88",$851.65,$540.40,"$14,032.09",$33.89,$0.00
6407416,2019,019,Carver,COMMERCIAL,3,45 - 64 years,F,36,S61,"Open wound of wrist, hand and fingers",0,115,427,"$16,620.66",$461.68,$242.61,"$9,652.71",$268.13,$147.89,"$6,967.95",$193.55,$57.50
6410152,2019,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,34,B07,Viral warts,0,64,405,"$3,869.15",$113.79,$86.93,"$3,869.15",$113.79,$86.93,$0.00,$0.00,$0.00
6412384,2019,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,56,F32,"Major depressive disorder, single episode",0,"1,176",641,"$97,645.92","$1,743.67",$578.16,"$97,490.92","$1,740.90",$578.16,$155.00,$2.76,$0.00
6415888,2019,019,Carver,MEDICARE,3,45 - 64 years,F,12,M53,"Other and unspecified dorsopathies, not elsewhere classified",0,75,144,"$43,363.40","$3,613.61",$255.50,"$38,864.16","$3,238.68",$203.80,"$4,499.24",$374.93,$32.61
6417832,2019,019,Carver,MEDICARE,4,65 - 74 years,M,21,E66,Overweight and obesity,0,59,252,"$4,372.11",$208.19,$162.72,"$4,061.12",$193.38,$122.31,$310.99,$14.80,$0.00
6419128,2019,019,Carver,MEDICARE,5,75 years and older,F,53,R20,Disturbances of skin sensation,0,226,635,"$15,950.21",$300.94,$163.23,"$13,350.76",$251.90,$132.34,"$2,599.45",$49.04,$26.68
6421336,2019,021,Cass,COMMERCIAL,2,19 - 44 years,M,18,R07,Pain in throat and chest,0,96,196,"$15,789.23",$877.17,$264.77,"$8,624.25",$479.12,$34.74,"$7,164.98",$398.05,$143.35
6424936,2019,021,Cass,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,34,K80,Cholelithiasis,0,736,370,"$119,742.38","$3,521.83","$2,325.11","$119,494.75","$3,514.55","$2,325.11",$247.63,$7.28,$0.00
6427552,2019,021,Cass,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,14,M54,Dorsalgia,0,792,168,"$63,807.20","$4,557.65",$114.27,"$63,807.20","$4,557.65",$114.27,$0.00,$0.00,$0.00
6431032,2019,021,Cass,MEDICARE,4,65 - 74 years,M,172,E78,Disorders of lipoprotein metabolism and other lipidemias,0,705,"2,050","$20,840.08",$121.16,$56.44,"$18,690.33",$108.66,$52.21,"$2,149.75",$12.49,$0.00
6432472,2019,021,Cass,MEDICARE,5,75 years and older,M,58,D64,Other anemias,0,424,663,"$25,791.22",$444.67,$137.48,"$20,210.17",$348.45,$118.72,"$5,581.05",$96.22,$16.17
6436984,2019,023,Chippewa,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,14,J02,Acute pharyngitis,0,39,165,"$1,679.10",$119.93,$99.88,"$1,583.59",$113.11,$98.38,$95.51,$6.82,$1.50
6441232,2019,023,Chippewa,MEDICARE,5,75 years and older,M,169,Z23,Encounter for immunization,0,461,"2,028","$16,274.10",$96.29,$71.19,"$15,554.89",$92.04,$71.19,$719.21,$4.25,$0.00
6443632,2019,025,Chisago,COMMERCIAL,2,19 - 44 years,M,36,N50,Other and unspecified disorders of male genital organs,0,122,416,"$17,050.69",$473.63,$291.84,"$8,780.02",$243.88,$79.83,"$8,270.67",$229.74,$60.09
6445312,2019,025,Chisago,COMMERCIAL,3,45 - 64 years,M,14,S30,"Superfic inj abdomen, low back, pelvis and external genitals",0,21,158,"$3,079.45",$219.96,$182.45,"$1,380.27",$98.59,$55.40,"$1,699.18",$121.37,$32.50
6448624,2019,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,70,N30,Cystitis,0,313,759,"$13,787.99",$196.97,$85.53,"$13,535.59",$193.36,$83.43,$252.40,$3.60,$0.00
6450640,2019,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,20,I51,Complications and ill-defined descriptions of heart disease,0,49,223,"$2,414.65",$120.73,$56.47,"$2,414.65",$120.73,$56.47,$0.00,$0.00,$0.00
6454240,2019,025,Chisago,MEDICARE,4,65 - 74 years,F,19,E05,Thyrotoxicosis [hyperthyroidism],0,196,228,"$7,280.20",$383.16,$222.11,"$6,328.96",$333.10,$207.11,$951.24,$50.06,$15.00
6456040,2019,025,Chisago,MEDICARE,5,75 years and older,F,315,I48,Atrial fibrillation and flutter,0,"4,827","3,595","$463,554.07","$1,471.60",$252.37,"$415,233.46","$1,318.20",$219.97,"$48,320.61",$153.39,$25.00
6458368,2019,027,Clay,COMMERCIAL,2,19 - 44 years,F,21,G89,"Pain, not elsewhere classified",0,103,243,"$18,929.10",$901.38,$203.16,"$15,693.16",$747.29,$74.25,"$3,235.94",$154.09,$0.00
6460600,2019,027,Clay,COMMERCIAL,3,45 - 64 years,M,18,M77,Other enthesopathies,0,61,215,"$4,415.98",$245.33,$167.03,"$2,753.61",$152.97,$31.29,"$1,662.37",$92.35,$32.95
6463528,2019,027,Clay,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,30,H65,Nonsuppurative otitis media,0,68,332,"$4,835.56",$161.18,$144.89,"$4,813.35",$160.44,$144.89,$22.21,$0.74,$0.00
6465448,2019,027,Clay,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,36,M48,Other spondylopathies,0,196,410,"$17,058.01",$473.83,$138.79,"$16,978.01",$471.61,$138.79,$80.00,$2.22,$0.00
6469192,2019,027,Clay,MEDICARE,3,45 - 64 years,F,27,Z78,Other specified health status,0,66,320,"$2,287.43",$84.71,$39.58,"$2,181.54",$80.79,$39.58,$105.89,$3.92,$0.00
6470848,2019,027,Clay,MEDICARE,4,65 - 74 years,M,13,F10,Alcohol related disorders,0,89,156,"$35,368.62","$2,720.66",$360.00,"$31,133.06","$2,394.85",$360.00,"$4,235.56",$325.81,$0.00
6472144,2019,027,Clay,MEDICARE,5,75 years and older,F,238,R91,Abnormal findings on diagnostic imaging of lung,0,950,"2,669","$67,322.17",$282.86,$105.60,"$55,136.22",$231.66,$95.65,"$12,185.95",$51.20,$10.46
6475720,2019,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,44,M79,"Oth and unsp soft tissue disorders, not elsewhere classified",0,127,498,"$11,658.10",$264.95,$177.02,"$11,609.10",$263.84,$168.63,$49.00,$1.11,$0.00
6480520,2019,029,Clearwater,MEDICARE,5,75 years and older,F,67,M99,"Biomechanical lesions, not elsewhere classified",0,355,798,"$22,460.36",$335.22,$184.30,"$18,361.78",$274.05,$146.85,"$4,098.58",$61.17,$39.40
6485704,2019,031,Cook,MEDICARE,5,75 years and older,F,19,N39,Other disorders of urinary system,0,247,209,"$36,728.27","$1,933.06",$426.47,"$33,387.87","$1,757.25",$362.06,"$3,340.40",$175.81,$34.12
6283047,2019,001,Aitkin,COMMERCIAL,2,19 - 44 years,F,11,R00,Abnormalities of heart beat,0,72,130,"$9,889.46",$899.04,$328.86,"$4,297.71",$390.70,$112.36,"$5,591.75",$508.34,$119.28
6287583,2019,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,32,M19,Other and unspecified osteoarthritis,0,177,361,"$23,062.41",$720.70,$149.17,"$22,947.18",$717.09,$149.17,$115.23,$3.60,$0.00
6291591,2019,001,Aitkin,MEDICARE,5,75 years and older,F,28,K52,Other and unsp noninfective gastroenteritis and colitis,0,228,326,"$20,262.03",$723.64,$254.56,"$17,254.55",$616.23,$223.30,"$3,007.48",$107.41,$29.83
6293127,2019,003,Anoka,COMMERCIAL,1,18 years and under,F,134,N94,Pain and oth cond assoc w fem gntl org and menstrual cycle,0,293,"1,581","$44,834.27",$334.58,$219.56,"$29,461.37",$219.86,$160.25,"$15,372.90",$114.72,$38.71
6294327,2019,003,Anoka,COMMERCIAL,2,19 - 44 years,F,134,B07,Viral warts,0,302,"1,549","$50,531.62",$377.10,$264.62,"$31,874.41",$237.86,$151.79,"$18,657.21",$139.23,$92.66
6295575,2019,003,Anoka,COMMERCIAL,2,19 - 44 years,M,32,F15,Other stimulant related disorders,0,537,347,"$225,281.77","$7,040.05","$1,832.89","$206,337.75","$6,448.05","$1,477.66","$18,944.02",$592.00,$44.57
6296751,2019,003,Anoka,COMMERCIAL,3,45 - 64 years,F,83,I82,Other venous embolism and thrombosis,0,801,954,"$195,778.07","$2,358.77",$293.00,"$183,174.64","$2,206.92",$211.67,"$12,603.43",$151.84,$5.94
6297735,2019,003,Anoka,COMMERCIAL,3,45 - 64 years,M,13,H72,Perforation of tympanic membrane,0,23,147,"$10,424.96",$801.92,$246.13,"$6,739.72",$518.44,$233.11,"$3,685.24",$283.48,$33.00
6299151,2019,003,Anoka,COMMERCIAL,4,65 - 74 years,M,217,E78,Disorders of lipoprotein metabolism and other lipidemias,0,807,"2,586","$14,721.96",$67.84,$21.78,"$11,246.12",$51.82,$2.19,"$3,475.84",$16.01,$0.00
6301263,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,248,M54,Dorsalgia,0,"1,184","2,854","$100,615.94",$405.70,$111.10,"$100,152.86",$403.84,$111.10,$463.08,$1.86,$0.00
6302607,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,34,T16,Foreign body in ear,0,102,399,"$6,169.47",$181.45,$73.81,"$6,169.47",$181.45,$73.81,$0.00,$0.00,$0.00
6303591,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,344,R00,Abnormalities of heart beat,0,"1,738","3,823","$105,151.92",$305.67,$120.22,"$104,177.72",$302.84,$117.69,$974.20,$2.83,$0.00
6304887,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,113,Z87,Personal history of other diseases and conditions,0,"1,149","1,283","$46,135.21",$408.27,$53.53,"$45,936.61",$406.51,$52.32,$198.60,$1.75,$0.00
6305991,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,22,A04,Other bacterial intestinal infections,0,280,252,"$43,992.64","$1,999.66",$84.74,"$43,792.24","$1,990.55",$84.61,$200.40,$9.10,$0.00
6307647,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,12,G93,Other disorders of brain,0,640,132,"$122,887.73","$10,240.64",$8.72,"$122,823.73","$10,235.31",$8.72,$64.00,$5.33,$0.00
6310599,2019,003,Anoka,MEDICARE,3,45 - 64 years,F,15,D18,"Hemangioma and lymphangioma, any site",0,47,171,"$4,719.20",$314.61,$123.33,"$4,095.18",$273.01,$98.63,$624.02,$41.60,$24.70
6311919,2019,003,Anoka,MEDICARE,3,45 - 64 years,M,51,J20,Acute bronchitis,0,281,597,"$16,055.12",$314.80,$106.82,"$12,263.48",$240.46,$84.11,"$3,791.64",$74.34,$32.60
6313023,2019,003,Anoka,MEDICARE,4,65 - 74 years,F,26,K82,Other diseases of gallbladder,0,50,302,"$4,734.10",$182.08,$91.56,"$4,109.24",$158.04,$85.29,$624.86,$24.03,$15.93
6314103,2019,003,Anoka,MEDICARE,4,65 - 74 years,M,30,L28,Lichen simplex chronicus and prurigo,0,57,360,"$3,206.00",$106.86,$73.66,"$2,615.60",$87.18,$59.16,$590.40,$19.68,$14.42
6492832,2019,033,Cottonwood,MEDICARE,4,65 - 74 years,M,19,M19,Other and unspecified osteoarthritis,0,135,228,"$35,927.31","$1,890.91",$116.50,"$33,912.01","$1,784.84",$95.94,"$2,015.30",$106.06,$27.09
6495544,2019,035,Crow Wing,COMMERCIAL,2,19 - 44 years,F,12,N85,"Other noninflammatory disorders of uterus, except cervix",0,31,140,"$4,063.55",$338.62,$117.15,$856.29,$71.35,$2.56,"$3,207.26",$267.27,$90.63
6499096,2019,035,Crow Wing,COMMERCIAL,5,75 years and older,M,21,M25,"Other joint disorder, not elsewhere classified",0,122,248,"$3,641.90",$173.42,$78.89,"$3,536.93",$168.42,$78.89,$104.97,$4.99,$0.00
6501208,2019,035,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,29,O43,Placental disorders,0,127,322,"$9,321.78",$321.44,$87.96,"$9,315.78",$321.23,$87.96,$6.00,$0.20,$0.00
6503824,2019,035,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,13,Z89,Acquired absence of limb,0,422,149,"$39,875.24","$3,067.32",$163.14,"$39,875.24","$3,067.32",$163.14,$0.00,$0.00,$0.00
6507640,2019,035,Crow Wing,MEDICARE,4,65 - 74 years,F,140,F33,"Major depressive disorder, recurrent",0,"1,201","1,678","$105,360.60",$752.57,$270.06,"$92,083.12",$657.73,$224.01,"$13,277.48",$94.83,$41.55
6508960,2019,035,Crow Wing,MEDICARE,4,65 - 74 years,M,17,R16,"Hepatomegaly and splenomegaly, not elsewhere classified",0,47,175,"$8,646.81",$508.63,$90.20,"$5,101.24",$300.07,$71.87,"$3,545.57",$208.56,$0.00
6510400,2019,035,Crow Wing,MEDICARE,5,75 years and older,M,155,I65,"Occls and stenosis of precerb art, not rslt in cereb infrc",0,506,"1,848","$100,452.93",$648.08,$176.67,"$83,896.65",$541.26,$160.17,"$16,556.28",$106.81,$30.08
6511696,2019,037,Dakota,COMMERCIAL,1,18 years and under,F,15,S43,Disloc and sprain of joints and ligaments of shoulder girdle,0,89,173,"$14,965.35",$997.69,$420.77,"$12,495.44",$833.02,$297.62,"$2,469.91",$164.66,$33.54
6512896,2019,037,Dakota,COMMERCIAL,2,19 - 44 years,F,38,D35,Benign neoplasm of other and unspecified endocrine glands,0,277,443,"$75,738.72","$1,993.12",$615.96,"$61,404.40","$1,615.90",$364.35,"$14,334.32",$377.21,$55.66
6513760,2019,037,Dakota,COMMERCIAL,2,19 - 44 years,F,39,S91,"Open wound of ankle, foot and toes",0,101,450,"$18,016.16",$461.95,$254.52,"$10,178.02",$260.97,$104.78,"$7,838.14",$200.97,$45.00
6514984,2019,037,Dakota,COMMERCIAL,3,45 - 64 years,F,15,C67,Malignant neoplasm of bladder,0,98,170,"$35,655.61","$2,377.04",$684.44,"$31,723.56","$2,114.90",$362.57,"$3,932.05",$262.13,$64.35
6515968,2019,037,Dakota,COMMERCIAL,3,45 - 64 years,F,38,Z72,Problems related to lifestyle,0,99,447,"$12,877.79",$338.88,$254.99,"$10,959.94",$288.41,$146.24,"$1,917.85",$50.46,$5.00
